[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Starting experiment: optimizer = muon
[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:17:37,306][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:17:40,298][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:17:40,579][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:17:40,579][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:17:42,749][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:17:42,749][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:17:56,154][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:17:56,154][optimizers.optimizer][INFO] - Create Muon optimizer
[2026-03-22 23:17:59,655][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:17:59,655][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: muon
[2026-03-22 23:17:59,702][__main__][INFO] - Starting training...
[2026-03-22 23:20:57,521][utilities.loggers][INFO] - Step 101: loss=2.941, lr=4.3e-05, mem=3862.0MB, t=200.22s
[2026-03-22 23:20:59,303][utilities.loggers][INFO] - Step 102: loss=2.835, lr=4.3e-05, mem=3862.0MB, t=202.0s
[2026-03-22 23:21:01,162][utilities.loggers][INFO] - Step 103: loss=3.1173, lr=4.3e-05, mem=3862.0MB, t=203.86s
[2026-03-22 23:21:03,022][utilities.loggers][INFO] - Step 104: loss=3.0455, lr=4.3e-05, mem=3862.0MB, t=205.72s
[2026-03-22 23:21:04,725][utilities.loggers][INFO] - Step 105: loss=2.8284, lr=4.2e-05, mem=3862.0MB, t=207.42s
[2026-03-22 23:21:06,444][utilities.loggers][INFO] - Step 106: loss=2.8037, lr=4.2e-05, mem=3862.0MB, t=209.14s
[2026-03-22 23:21:08,194][utilities.loggers][INFO] - Step 107: loss=2.946, lr=4.2e-05, mem=3862.0MB, t=210.89s
[2026-03-22 23:21:09,944][utilities.loggers][INFO] - Step 108: loss=3.0335, lr=4.2e-05, mem=3862.0MB, t=212.64s
[2026-03-22 23:21:11,803][utilities.loggers][INFO] - Step 109: loss=2.9336, lr=4.2e-05, mem=3862.0MB, t=214.5s
[2026-03-22 23:21:13,538][utilities.loggers][INFO] - Step 110: loss=2.9103, lr=4.1e-05, mem=3862.0MB, t=216.23s
[2026-03-22 23:21:15,351][utilities.loggers][INFO] - Step 111: loss=2.9314, lr=4.1e-05, mem=3862.0MB, t=218.05s
[2026-03-22 23:21:17,117][utilities.loggers][INFO] - Step 112: loss=3.0457, lr=4.1e-05, mem=3862.0MB, t=219.81s
[2026-03-22 23:21:18,883][utilities.loggers][INFO] - Step 113: loss=3.0134, lr=4.1e-05, mem=3862.0MB, t=221.58s
[2026-03-22 23:21:20,628][utilities.loggers][INFO] - Step 114: loss=2.8847, lr=4.1e-05, mem=3862.0MB, t=223.32s
[2026-03-22 23:21:22,394][utilities.loggers][INFO] - Step 115: loss=2.786, lr=4e-05, mem=3862.0MB, t=225.09s
[2026-03-22 23:21:24,097][utilities.loggers][INFO] - Step 116: loss=2.8026, lr=4e-05, mem=3862.0MB, t=226.79s
[2026-03-22 23:21:25,910][utilities.loggers][INFO] - Step 117: loss=2.8284, lr=4e-05, mem=3862.0MB, t=228.6s
[2026-03-22 23:21:27,628][utilities.loggers][INFO] - Step 118: loss=2.9566, lr=4e-05, mem=3862.0MB, t=230.32s
[2026-03-22 23:21:29,597][utilities.loggers][INFO] - Step 119: loss=3.035, lr=3.9e-05, mem=3862.0MB, t=232.29s
[2026-03-22 23:21:31,347][utilities.loggers][INFO] - Step 120: loss=2.9357, lr=3.9e-05, mem=3862.0MB, t=234.04s
[2026-03-22 23:21:33,112][utilities.loggers][INFO] - Step 121: loss=2.8529, lr=3.9e-05, mem=3862.0MB, t=235.81s
[2026-03-22 23:21:34,782][utilities.loggers][INFO] - Step 122: loss=2.921, lr=3.9e-05, mem=3862.0MB, t=237.48s
[2026-03-22 23:21:36,532][utilities.loggers][INFO] - Step 123: loss=2.9117, lr=3.9e-05, mem=3862.0MB, t=239.23s
[2026-03-22 23:21:38,297][utilities.loggers][INFO] - Step 124: loss=2.978, lr=3.8e-05, mem=3862.0MB, t=240.99s
[2026-03-22 23:21:40,126][utilities.loggers][INFO] - Step 125: loss=2.9212, lr=3.8e-05, mem=3862.0MB, t=242.82s
[2026-03-22 23:21:41,286][utilities.loggers][INFO] - Step 126: loss=2.8206, lr=3.8e-05, mem=3862.0MB, t=243.98s
[2026-03-22 23:21:43,777][utilities.loggers][INFO] - Step 127: loss=2.8807, lr=3.8e-05, mem=3862.0MB, t=246.47s
[2026-03-22 23:21:45,559][utilities.loggers][INFO] - Step 128: loss=2.7684, lr=3.7e-05, mem=3862.0MB, t=248.25s
[2026-03-22 23:21:47,309][utilities.loggers][INFO] - Step 129: loss=2.7397, lr=3.7e-05, mem=3862.0MB, t=250.0s
[2026-03-22 23:21:49,028][utilities.loggers][INFO] - Step 130: loss=2.9854, lr=3.7e-05, mem=3862.0MB, t=251.72s
[2026-03-22 23:21:50,715][utilities.loggers][INFO] - Step 131: loss=3.05, lr=3.7e-05, mem=3862.0MB, t=253.41s
[2026-03-22 23:21:52,387][utilities.loggers][INFO] - Step 132: loss=3.0733, lr=3.6e-05, mem=3862.0MB, t=255.08s
[2026-03-22 23:21:54,106][utilities.loggers][INFO] - Step 133: loss=2.913, lr=3.6e-05, mem=3862.0MB, t=256.8s
[2026-03-22 23:21:55,841][utilities.loggers][INFO] - Step 134: loss=2.7895, lr=3.6e-05, mem=3862.0MB, t=258.53s
[2026-03-22 23:21:57,638][utilities.loggers][INFO] - Step 135: loss=2.7951, lr=3.6e-05, mem=3862.0MB, t=260.33s
[2026-03-22 23:21:59,403][utilities.loggers][INFO] - Step 136: loss=2.8244, lr=3.5e-05, mem=3862.0MB, t=262.1s
[2026-03-22 23:22:01,154][utilities.loggers][INFO] - Step 137: loss=2.8659, lr=3.5e-05, mem=3862.0MB, t=263.85s
[2026-03-22 23:22:02,810][utilities.loggers][INFO] - Step 138: loss=2.8618, lr=3.5e-05, mem=3862.0MB, t=265.5s
[2026-03-22 23:22:04,591][utilities.loggers][INFO] - Step 139: loss=2.8736, lr=3.5e-05, mem=3862.0MB, t=267.29s
[2026-03-22 23:22:06,388][utilities.loggers][INFO] - Step 140: loss=2.9492, lr=3.4e-05, mem=3862.0MB, t=269.08s
[2026-03-22 23:22:08,201][utilities.loggers][INFO] - Step 141: loss=2.8273, lr=3.4e-05, mem=3862.0MB, t=270.89s
[2026-03-22 23:22:10,013][utilities.loggers][INFO] - Step 142: loss=2.6718, lr=3.4e-05, mem=3862.0MB, t=272.71s
[2026-03-22 23:22:11,826][utilities.loggers][INFO] - Step 143: loss=2.792, lr=3.4e-05, mem=3862.0MB, t=274.52s
[2026-03-22 23:22:13,562][utilities.loggers][INFO] - Step 144: loss=2.9173, lr=3.3e-05, mem=3862.0MB, t=276.26s
[2026-03-22 23:22:15,359][utilities.loggers][INFO] - Step 145: loss=2.5979, lr=3.3e-05, mem=3862.0MB, t=278.05s
[2026-03-22 23:22:17,031][utilities.loggers][INFO] - Step 146: loss=2.8378, lr=3.3e-05, mem=3862.0MB, t=279.73s
[2026-03-22 23:22:18,782][utilities.loggers][INFO] - Step 147: loss=2.887, lr=3.3e-05, mem=3862.0MB, t=281.48s
[2026-03-22 23:22:20,579][utilities.loggers][INFO] - Step 148: loss=2.8662, lr=3.2e-05, mem=3862.0MB, t=283.27s
[2026-03-22 23:22:22,361][utilities.loggers][INFO] - Step 149: loss=2.8426, lr=3.2e-05, mem=3862.0MB, t=285.05s
[2026-03-22 23:22:24,150][utilities.loggers][INFO] - Step 150: loss=2.8255, lr=3.2e-05, mem=3862.0MB, t=286.84s
[2026-03-22 23:22:25,947][utilities.loggers][INFO] - Step 151: loss=2.7943, lr=3.1e-05, mem=3862.0MB, t=288.64s
[2026-03-22 23:22:27,681][utilities.loggers][INFO] - Step 152: loss=2.9239, lr=3.1e-05, mem=3862.0MB, t=290.37s
[2026-03-22 23:22:29,447][utilities.loggers][INFO] - Step 153: loss=3.071, lr=3.1e-05, mem=3862.0MB, t=292.14s
[2026-03-22 23:22:31,197][utilities.loggers][INFO] - Step 154: loss=3.0575, lr=3.1e-05, mem=3862.0MB, t=293.89s
[2026-03-22 23:22:32,981][utilities.loggers][INFO] - Step 155: loss=2.9175, lr=3e-05, mem=3862.0MB, t=295.67s
[2026-03-22 23:22:34,703][utilities.loggers][INFO] - Step 156: loss=2.9021, lr=3e-05, mem=3862.0MB, t=297.4s
[2026-03-22 23:22:36,515][utilities.loggers][INFO] - Step 157: loss=2.8561, lr=3e-05, mem=3862.0MB, t=299.21s
[2026-03-22 23:22:38,250][utilities.loggers][INFO] - Step 158: loss=2.8405, lr=3e-05, mem=3862.0MB, t=300.94s
[2026-03-22 23:22:40,031][utilities.loggers][INFO] - Step 159: loss=2.969, lr=2.9e-05, mem=3862.0MB, t=302.73s
[2026-03-22 23:22:41,750][utilities.loggers][INFO] - Step 160: loss=2.8729, lr=2.9e-05, mem=3862.0MB, t=304.44s
[2026-03-22 23:22:43,500][utilities.loggers][INFO] - Step 161: loss=2.8956, lr=2.9e-05, mem=3862.0MB, t=306.19s
[2026-03-22 23:22:45,220][utilities.loggers][INFO] - Step 162: loss=2.8122, lr=2.8e-05, mem=3862.0MB, t=307.91s
